customer_id,vendor_id,region,order_volume,avg_delivery_time,on_time_rate,defect_rate,support_tickets,monthly_revenue,customer_tenure_months,churn_risk
1,151,South,354,2.907842418120147,0.7256024009452974,0.037827820004596925,13,8774.469161711284,34,1
2,192,East,190,8.36861503666843,0.7129020855600818,0.1844734969340206,17,7258.206116739439,36,1
3,114,West,179,3.902751800617737,0.9000599981652765,0.13912493047081162,14,14174.173231858196,37,1
4,171,West,365,1.2060444247850821,0.9469928289462154,0.12215414613700773,14,15558.663982447199,17,1
5,160,North,200,2.3841203470122796,0.9346046004798901,0.039968254256387906,5,6777.798083454393,40,0
6,120,West,164,3.0125299104668013,0.8631417183598712,0.01110500656183011,14,16420.913274452218,40,1
7,182,East,431,9.615905991051285,0.7299600463408534,0.11369297970158798,17,6584.418449593742,54,1
8,186,South,197,6.157372860377643,0.9064133331508042,0.1303031366657785,3,9480.200839744663,12,1
9,174,North,16,9.394576664286294,0.7725666650662437,0.04215628987093765,7,14813.352013268544,21,1
10,174,North,142,6.176470154469625,0.973320610830215,0.11129124116509129,14,14165.484355270983,40,1
11,187,South,244,5.3141899612406664,0.9514796078637114,0.17129868055251474,2,19760.0009739318,19,1
12,199,West,54,3.823549220746864,0.9128148901262172,0.16701318909100402,14,5278.059460102706,3,1
13,123,South,323,6.457338499900381,0.9846537867493391,0.18547103611725946,12,13584.040357252064,18,1
14,102,West,258,2.2527822215577684,0.7094265464533819,0.07317716191137609,8,12583.95625723977,53,1
15,121,South,40,9.084354645634354,0.9208601275182287,0.06360991451018375,1,18386.87063531057,51,0
16,152,East,32,8.463991646271554,0.7990728338009215,0.14988520119616175,7,3970.880691252626,19,1
17,101,West,435,3.8577830308906336,0.9718197657059096,0.086222481019401,19,15284.165108151727,47,1
18,187,East,403,9.57517774841165,0.7800025589985933,0.017509732805556122,16,11797.1037091066,6,1
19,129,North,169,8.426806906740113,0.9174569497945051,0.056560226134099945,12,6218.651525970203,16,1
20,137,South,372,6.996761972515357,0.9632941058952345,0.08371645710629783,0,10014.263368796308,8,0
21,101,North,446,2.0958572001274733,0.7124970455148046,0.05850328509525041,1,7341.755344326158,48,1
22,163,North,167,5.304106207432651,0.8192942738776108,0.06644111418946433,14,12006.954652980758,18,1
23,159,North,48,5.554967993620758,0.9286927096065816,0.058755181234878155,11,17891.011605478652,52,1
24,120,North,424,3.092962225288421,0.8364756668522761,0.008299833436615889,13,11816.794703831838,48,1
25,132,South,91,1.7196885492337175,0.7801757889380786,0.1274189401648885,1,13002.725948205098,43,1
26,175,North,365,7.990512674245235,0.7659416046469569,0.11945848407069387,17,10856.20909517948,39,1
27,157,South,267,2.098315469119555,0.7394554800749134,0.13067669969573611,6,1972.1446224640422,49,1
28,121,South,215,6.348616755055972,0.9571388679568846,0.0384619792067255,5,5424.312580645791,49,0
29,188,East,86,9.428042564952944,0.8726066209754668,0.05913090832249706,13,10348.032859209572,12,1
30,148,West,486,8.884946733382382,0.7229154834974367,0.12392318538898446,7,6894.470391149391,45,1
31,190,West,21,3.49977361374335,0.8147740970711906,0.11992551369198429,1,4453.50835746269,10,1
32,158,South,304,8.663037737961389,0.8103200952415329,0.10126606187085357,16,10578.523996450329,7,1
33,141,East,459,1.0029925550844045,0.7545217572128389,0.07008265000203949,4,7133.386075509156,46,1
34,191,South,233,1.159190286519315,0.8306522876416572,0.182586200954938,13,5904.04522029488,55,1
35,159,South,22,6.4229784745857845,0.799629809617941,0.06795404845976875,19,9815.722931367236,1,1
36,179,South,55,4.283183972300765,0.8025411116476547,0.09112383128745033,2,3532.40090356129,49,1
37,114,East,164,4.478147570432324,0.9217079673363876,0.13562276619084176,4,18627.16892843274,36,1
38,161,West,122,6.0799698161099425,0.7669790156515589,0.10860428617335283,15,17486.33986046554,21,1
39,161,East,242,2.726042100326745,0.8925579876566065,0.06937719527287711,17,14444.79112907017,37,1
40,146,North,26,2.905798155989305,0.8711948871642805,0.08712895809130197,16,3018.062724180668,52,1
41,161,East,369,5.361414283169783,0.8704277537013602,0.15889616357070124,10,15741.667834924167,24,1
42,150,East,232,7.788281899094767,0.8989022038425327,0.05562583109732249,16,16351.18923407136,55,1
43,154,East,363,6.575479762668289,0.8645146108586962,0.028451047955363087,15,15587.527736572416,25,1
44,163,East,197,3.67619543413155,0.9637765344539153,0.06263264036595542,1,3165.351855265582,7,0
45,102,West,457,4.873034597580291,0.902674027585078,0.16990684309758028,3,13234.25118428753,42,1
46,150,North,353,2.5359828269499856,0.8640889754114164,0.017797942971269333,6,16852.17111923857,17,0
47,106,West,374,1.6716683290337353,0.9489289360862935,0.19833921467449037,1,11969.714623173686,29,1
48,120,West,172,8.044264366697343,0.881843969480044,0.1082005797855325,5,13281.740129333692,30,1
49,172,East,335,3.388486682693751,0.7873432743355536,0.1969691487934188,16,9708.906109099817,7,1
50,138,South,476,2.5998974906612338,0.7621284754529714,0.1877992844171955,6,11045.439077797,33,1
51,117,South,423,7.224562500123874,0.7456983356988036,0.09056274284218335,4,1653.160308682779,7,1
52,103,West,464,6.5624650685846735,0.9698365637638304,0.03969821492106982,4,13140.297417492407,58,0
53,188,West,83,6.6987066341211765,0.9130406295394198,0.03297695531302769,19,2547.4970449320244,24,1
54,159,East,242,3.0600514436195225,0.9812135314492962,0.04799787277399151,15,9265.277292464245,11,1
55,113,West,233,3.093809847064129,0.8809875417144829,0.14202652811290747,18,6560.446855680749,9,1
56,108,East,491,2.9872236680707522,0.8420202644484738,0.05458999894629757,8,11363.13105402255,12,1
57,189,South,328,2.5637733609606506,0.7179149466912668,0.06828505392085966,4,3534.9103749409346,35,1
58,152,South,421,6.901513053054907,0.9014926844638089,0.08975576079892296,7,14141.224637493046,4,0
59,101,North,69,8.632142967244611,0.8746626279304693,0.18264653608429127,8,16105.219201640937,36,1
60,183,South,344,7.518857227089951,0.9970626680762864,0.03787868357696922,4,4103.7345451199735,28,0
61,191,West,231,8.128842703844889,0.7717476333346729,0.0010053105219606229,9,2981.948659685761,57,1
62,159,South,46,4.643185861766798,0.8592212065860507,0.012019282075634031,1,3764.7941729598238,13,0
63,170,East,486,6.886682158347983,0.8952872005354218,0.1809532683360236,8,17665.423676071532,23,1
64,143,South,287,4.188126164002971,0.8933773524227031,0.12950329296867263,10,11035.595973370768,19,1
65,107,North,205,5.72954159771776,0.8683880628845209,0.05460812386556135,3,9877.95892414255,42,0
66,146,South,413,5.334713618813761,0.9330784030981676,0.035438500202238224,1,3027.5245629447313,37,0
67,134,East,361,2.5919843062946897,0.7614943628580448,0.05885334732742287,5,13341.564128382273,39,1
68,177,East,493,4.483708843020677,0.9176881600823248,0.022959385450256022,13,17491.992246006706,24,1
69,180,West,251,9.674400479341159,0.8859203714299267,0.18830658205688822,0,16735.531517145606,16,1
70,135,South,333,3.237222319434479,0.968822533538372,0.15684123487305338,17,12895.039470635225,33,1
